rowname	logFC	logCPM	F	PValue	FDR
FBgn0031740	-0.32969566299211167	5.77951750114713	10.054325391303305	0.011421843997004084	0.12737130019463055
FBgn0035702	0.5579592189214613	2.3864714877006117	10.053484012449111	0.011424273614191422	0.12737130019463055
FBgn0002719	-0.3798490962280908	9.313077314542259	10.05040714028957	0.01143316400493125	0.12737130019463055
FBgn0038462	-0.7303609153112512	4.825155381231617	10.049456365002026	0.011435912923144631	0.12737130019463055
FBgn0022359	-0.46270975811377746	4.295719083122501	10.026577166779106	0.011502308493352912	0.12793087213323273
FBgn0086779	0.3400922190724161	6.782156788284614	10.00477065600197	0.011566033912163405	0.1284592181632847
FBgn0020279	-0.4370020354093468	9.78437212671572	9.996273595920245	0.011590982750300882	0.12855601176419143
FBgn0022361	0.5491903482598388	2.94463073082958	9.988664624958673	0.011613380326499254	0.12862427804971693
FBgn0004413	-0.48269742020848716	11.652775915250684	9.970437030872212	0.011667251974620502	0.1288129989677356
FBgn0013749	0.5240926233958327	5.010468734497692	9.960070529828595	0.011698027594211152	0.1288129989677356
FBgn0038680	0.37450509007978056	6.067735415082248	9.954175994233774	0.011715571667005074	0.1288129989677356
FBgn0026079	-0.27666977967140965	5.764487495640885	9.952385866593776	0.011720906094258597	0.1288129989677356
FBgn0032455	0.25569175398209926	6.067229737627016	9.95232831425718	0.011721077644972131	0.1288129989677356
FBgn0083123	0.8665022570427985	2.967836869814104	9.94768734828597	0.011734921526373523	0.1288129989677356
FBgn0031948	0.4668433609556306	3.1931853597708124	9.941240705349264	0.01175418515789514	0.1288129989677356
FBgn0037489	0.23283870070130572	5.808154414574473	9.93911343197567	0.011760550354043798	0.1288129989677356
FBgn0026702	-0.3478763595818976	4.930163966969912	9.927447144369589	0.011795533698354184	0.12891102059519394
FBgn0015553	0.3979585949400093	4.064635469593193	9.925276441033517	0.011802057069265768	0.12891102059519394
FBgn0034500	0.4480975681556754	4.108872777986129	9.915163184618219	0.011832507996649129	0.12906560719760943
FBgn0031256	-0.27336020505224756	6.86215342425437	9.885562514040975	0.011922193678655409	0.12954993664344164
FBgn0010397	-0.351769229541799	5.617492120460303	9.88361783260917	0.011928115065255172	0.12954993664344164
FBgn0010412	-0.47964553951510625	11.819069773675741	9.870423024193729	0.011968388020493813	0.12954993664344164
FBgn0028507	-0.31039936739046836	5.567131059565971	9.869536049145923	0.011971101238251172	0.12954993664344164
FBgn0062449	0.45080033145542664	4.010896365546275	9.868478889106195	0.011974336035021588	0.12954993664344164
FBgn0033397	0.707005383712006	2.272328888069012	9.865335999141006	0.011983959308814076	0.12954993664344164
FBgn0010611	-0.23929650459298166	7.507836316907329	9.862899532105471	0.011991426134567839	0.12954993664344164
FBgn0037737	0.47033579595192143	4.358777676322048	9.85552849872019	0.012014050441589631	0.12961752785687777
FBgn0085388	-0.47539432258988185	7.295560121557316	9.841664610118078	0.012056746372720535	0.1298380676618288
FBgn0031377	-0.3256149092299049	5.62767805287478	9.83825239706287	0.012067283470022224	0.1298380676618288
